,experiment_id,start_times,end_times,parameter_values
242,experiment_1067,82.1131286621,82.2131286621,13
243,experiment_1067,83.40493536,83.50493536,10
244,experiment_1067,84.6942536831,84.7942536831,7
245,experiment_1067,85.9859580994,86.0859580994,19
246,experiment_1067,87.2756552696,87.3756552696,16
247,experiment_1067,88.5657827854,88.6657827854,9
248,experiment_1067,89.861746788,89.961746788,14
249,experiment_1067,91.1549870968,91.2549870968,6
250,experiment_1067,92.4474492073,92.5474492073,3
251,experiment_1067,93.7424099445,93.8424099445,17
252,experiment_1067,95.0342986584,95.1342986584,13
253,experiment_1067,96.3287165165,96.4287165165,8
254,experiment_1067,97.6239228249,97.7239228249,4
255,experiment_1067,98.9169788361,99.0169788361,17
256,experiment_1067,100.209143877,100.309143877,7
257,experiment_1067,101.504207134,101.604207134,15
258,experiment_1067,102.794508457,102.894508457,12
259,experiment_1067,104.086499453,104.186499453,10
260,experiment_1067,105.391925335,105.491925335,6
261,experiment_1067,106.685513973,106.785513973,3
262,experiment_1067,107.979860067,108.079860067,16
263,experiment_1067,109.272219896,109.372219896,20
264,experiment_1067,110.56493783,110.66493783,18
265,experiment_1067,111.859099865,111.959099865,11
266,experiment_1067,113.150261402,113.250261402,9
267,experiment_1067,114.453649521,114.553649521,19
268,experiment_1067,115.750607014,115.850607014,14
269,experiment_1067,117.04501462,117.14501462,5
270,experiment_1067,118.335910082,118.435910082,11
271,experiment_1067,119.63127017,119.73127017,10
272,experiment_1067,120.922493219,121.022493219,8
273,experiment_1067,122.210377932,122.310377932,4
274,experiment_1067,123.505461454,123.605461454,13
275,experiment_1067,124.80016613,124.90016613,14
276,experiment_1067,126.090457201,126.190457201,12
277,experiment_1067,127.381967068,127.481967068,6
278,experiment_1067,128.673108101,128.773108101,7
279,experiment_1067,129.964535952,130.064535952,19
280,experiment_1067,131.258452177,131.358452177,15
281,experiment_1067,132.551692486,132.651692486,5
282,experiment_1067,133.844850779,133.944850779,9
283,experiment_1067,135.139494181,135.239494181,3
284,experiment_1067,136.434403419,136.534403419,18
285,experiment_1067,137.72706008,137.82706008,20
286,experiment_1067,139.024980068,139.124980068,16
287,experiment_1067,140.320780516,140.420780516,17
288,experiment_1067,141.613140106,141.713140106,5
289,experiment_1067,142.906226873,143.006226873,17
290,experiment_1067,144.199723244,144.299723244,10
291,experiment_1067,145.49141717,145.59141717,3
292,experiment_1067,146.779947281,146.879947281,18
293,experiment_1067,148.071456909,148.171456909,8
294,experiment_1067,149.363796234,149.463796234,11
295,experiment_1067,150.657384634,150.757384634,4
296,experiment_1067,151.949815989,152.049815989,19
297,experiment_1067,153.239677191,153.339677191,9
298,experiment_1067,154.537566423,154.637566423,13
299,experiment_1067,155.849197865,155.949197865,6
300,experiment_1067,157.147793531,157.247793531,15
301,experiment_1067,158.442354918,158.542354918,7
302,experiment_1067,159.738134623,159.838134623,20
303,experiment_1067,161.027033329,161.127033329,14
304,experiment_1067,162.321891546,162.421891546,12
305,experiment_1067,163.616186619,163.716186619,16
306,experiment_1067,164.9120996,165.0120996,13
307,experiment_1067,166.211647749,166.311647749,4
308,experiment_1067,167.503362179,167.603362179,16
309,experiment_1067,168.797729015,168.897729015,5
310,experiment_1067,170.089679003,170.189679003,10
311,experiment_1067,171.381403923,171.481403923,20
312,experiment_1067,172.673937559,172.773937559,18
313,experiment_1067,173.971826792,174.071826792,17
314,experiment_1067,175.267074347,175.367074347,6
315,experiment_1067,176.561154127,176.661154127,8
316,experiment_1067,177.854722261,177.954722261,12
317,experiment_1067,179.147511959,179.247511959,11
318,experiment_1067,180.439339161,180.539339161,19
319,experiment_1067,181.731637478,181.831637478,14
320,experiment_1067,183.034615993,183.134615993,9
321,experiment_1067,184.329648256,184.429648256,7
322,experiment_1067,185.622345924,185.722345924,3
323,experiment_1067,186.914961576,187.014961576,15
324,experiment_1067,188.207812786,188.307812786,4
325,experiment_1067,189.500510454,189.600510454,5
326,experiment_1067,190.793668747,190.893668747,14
327,experiment_1067,192.091681004,192.191681004,15
328,experiment_1067,193.387020588,193.487020588,12
329,experiment_1067,194.683619499,194.783619499,16
330,experiment_1067,195.976122618,196.076122618,13
331,experiment_1067,197.267919064,197.367919064,10
332,experiment_1067,198.5594697,198.6594697,8
333,experiment_1067,199.852392673,199.952392673,11
334,experiment_1067,201.143502951,201.243502951,17
335,experiment_1067,202.437869787,202.537869787,19
336,experiment_1067,203.734960318,203.834960318,20
337,experiment_1067,205.029531717,205.129531717,9
338,experiment_1067,206.323468447,206.423468447,6
339,experiment_1067,207.616462946,207.716462946,7
340,experiment_1067,208.924571753,209.024571753,18
341,experiment_1067,210.218047619,210.318047619,3
342,experiment_1067,211.513131142,211.613131142,20
343,experiment_1067,212.806187153,212.906187153,9
